"contact_country_names","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"Brazil",1.75594834779842,1.36539613796087,5.59743249156994,0.915183092498305,1.59432090643904,24.3411864037479,20.2002699486132,3.23525698546666,5.28008062903792,12.5184639152277,127.812436148068,9.86560089799258,0.203156911887217,0.411778929897978,1.81278086593284,1.57545900072382
"Brunei Darussalam",2.93770199478063,1.73169421765112,5.99238707648287,0.406127353686931,1.96698941273553,21.0568180851855,18.867179882782,1.49935063907262,6.21596186637234,13.1960662854488,124.562141252736,4.59087674370931,0.125859030498829,0.258017299926321,1.12087672762463,0.706063273055525
"Bulgaria",2.99776434111102,0.898965824902283,5.05020937788858,1.30127489358139,1.07749136077168,10.7727821720557,14.0594249360684,4.76713754274521,4.01339773244067,6.82452409398474,118.705042037536,19.8261327297761,0.275575766610125,0.440871256630221,4.27734872258596,6.29318281456445
"Burkina Faso",6.41501418535236,4.65448693669002,8.55634493667743,1.129683258373,5.38868825410694,46.2460222142664,26.8194300103883,4.09436551937472,8.44183931976316,15.0342641863746,111.437053315303,6.21340753019805,0.279655561187628,0.479961447547653,1.05902096878634,0.53695802447882
"Cabo Verde",5.29761982463149,3.53342371731947,6.25390491676432,1.21804405483079,3.96257237729584,36.2167678420472,22.4998630150191,4.34716972913309,7.7073712527278,16.1610611123113,100.998106289925,8.68577334852898,0.305819303054996,0.602646146039661,1.17919144757896,1.15356493192371
"Cambodia",2.7631830001598,2.02036929137314,5.83348168178271,0.546356232214276,2.52191835402803,26.4350423331353,22.0619550261432,1.94679649230513,6.6353046367176,12.9694653814865,149.240071955092,5.76873512547721,0.199030112366408,0.331811787069564,1.16807824226849,0.848758226372499
"Cameroon",6.54322220930175,4.28089119621015,8.27937392702106,0.950222938506047,5.08332357383994,42.0772931898001,25.9619733486137,3.46520639255262,8.8945090183048,15.1306443718279,127.396827948499,5.63556835191983,0.266396594800337,0.425893778621523,1.01189200079585,0.519743947695678
"Canada",2.870876806528,1.07798965920579,4.24837209450274,0.544851083300064,1.31715529727906,13.4667547280875,13.8806711245708,1.90466509594663,4.66610774631598,8.66349633242704,127.859881115518,10.9075872596644,0.241539084969761,0.387977752868281,2.96594089463042,4.28152068639122
"Chile",3.1378934052312,1.48637852221283,5.42549006249413,0.818983105478199,1.77838955980395,17.1754364450134,16.667763196058,2.85275773013031,5.78234054182849,10.9650619932644,124.604414402139,10.4754286000908,0.247202708687813,0.428553028277157,2.2159199751837,2.34762696067393
"China",1.40966073379255,0.792417125012132,4.83178462251044,0.77679772628327,1.0434988281012,16.5923406970986,17.042329831015,2.84169125902924,4.63194515712115,9.24866272716614,135.157221331623,11.0536251056798,0.194278864393834,0.330011898159402,2.46537575175438,2.38075879721497
"Colombia",3.27036118980274,1.99495488921012,5.89041684213169,0.807955398929376,2.36591510190531,22.2060149741178,19.2646678797199,2.8103483292495,6.61213474951032,12.6895255322585,125.259271994812,8.91980915161404,0.245422605048188,0.433116774287342,1.66845846984647,1.49709535802521
"Congo",5.21686546878017,3.43963601620692,8.96235033629624,1.01479429007385,4.10651822196108,34.0546636644268,25.0899644013404,3.77825086915868,8.56890974236409,13.7060065981521,105.494270857989,6.11080113129369,0.234289657329013,0.367164063030738,1.07456441808607,0.595028446690411
"Costa Rica",1.79179868900777,1.34149031074117,5.45284585132037,0.72027259288571,1.59595579410357,23.0897327019275,19.2349271051718,2.55176142293988,5.45162622602791,12.152634514072,125.520744621664,8.45746856989898,0.192594513900336,0.37637515887929,1.72015960670384,1.41927045398419
"Croatia",2.25829105500131,0.859519401091606,3.84447383244555,0.828159084969743,1.09127028736847,13.6529116466108,12.9743907912818,3.10584361466874,4.49805145766513,8.54404025944095,111.617861364843,15.65667354429,0.274830432933002,0.490053934240853,3.73007394656929,5.97788694100588
"Cyprus",2.60053811019219,0.989198406811217,4.70765718988862,0.790966814958114,1.2207880754118,13.2708205574191,14.2147254329496,2.91776118763183,4.75868688159488,8.73103275747861,130.339804975437,12.5212737910978,0.235796615163186,0.399854713917721,2.93763277062013,3.8423851308142
"Czech Republic",1.58291965167986,0.688720454203761,4.0142757550347,0.766212634137668,0.983154555494228,15.5472083803634,14.1960581558703,2.60503852581307,4.38643005211552,7.67516613189095,128.445897781776,14.4591142699974,0.297351288676113,0.404816573568524,3.75825046778391,5.12692500266276
"Denmark",3.29084760656029,1.19252438910107,4.04997499766412,0.597840137314027,1.3644952737093,14.6896611256679,13.581715669792,2.11661947166625,4.68132113372029,9.356323451802,122.013026226053,12.4158772713268,0.306130222609263,0.525681954449804,3.48693662230072,6.09416890984461
"Dominican Republic",3.48470751501197,2.35783069725281,6.12449314366309,0.832659826657586,2.78453594376803,25.5897078805929,19.4786245657654,2.95596928906621,7.26474375943185,13.511327951515,119.33057445651,8.73632787332587,0.248475213921931,0.432064111986662,1.44270029565522,1.25364305192925
"Ecuador",2.94080131215505,2.19331361060607,5.73216151691398,0.769202975381566,2.65342286615389,29.7562545362093,20.2652110029845,2.77036288842234,6.91865516991892,13.5189574395002,116.520879608755,8.27530659144548,0.261700306807579,0.445233005622711,1.45154234692902,1.34257420170279
"Egypt",2.9667463723087,2.29915781496015,6.10104114121073,0.652415384632743,2.72149902818013,25.8900607781503,20.8729279776973,2.31064651614198,6.83347539508747,13.3886664122958,108.246478412433,6.42479057502109,0.199145760402079,0.361120704992729,1.190831673907,0.889946974687233
"El Salvador",3.47393273252991,2.25166317367438,5.8047321005525,0.897423721320778,2.62602162515594,27.6272219737865,20.4437152196539,3.18772649963118,6.68291578691429,13.9670198278034,118.527621458923,9.37400483901864,0.263392646165709,0.501894508794688,1.55129555333893,1.5137777308951
"Estonia",4.0915242513078,1.12460499977732,4.57280283482584,0.79555307732146,1.38482322654134,11.3304037969028,12.2593074290446,2.99226514583631,5.20392588676795,7.77637190422065,124.262012538784,15.3378780601489,0.306418566175477,0.437252340296166,3.51584722418494,5.91188301242392
"Ethiopia",5.41392944242705,3.87940421342731,9.11541969882774,1.20629848788254,4.6039174362752,49.5080438389904,29.5113458363475,4.13704636252498,8.24288600888418,15.8554529018422,129.479904663821,6.68944056851372,0.261329566695341,0.459902425135079,1.17674835797116,0.556962260675104
"Fiji",2.55884222338773,1.89709340878247,6.21265194139794,0.707629409268746,2.33360126416915,27.2279980967617,20.888445760326,2.46051784775401,6.78363101210571,13.2394516781753,111.081949672844,7.34378885003552,0.207691482133407,0.359439779154239,1.38482605207988,0.94857984693006
"Finland",4.15566573244925,1.62303390200327,4.06682148181925,0.851313659045422,1.94378211008967,16.0685271739338,9.8863806347247,0.28354100129627,4.31089475780707,8.46571231008472,117.330977807818,7.38421840277952,0.220187955405547,0.409126926004934,2.74300200030848,6.51593366271775
