"countryID","N","propn_age1","propn_age2","propn_age3","propn_age4"
"Lebanon",5851000,0.0787899504358229,0.161169030934883,0.678687403862588,0.0813536147667066
"Lesotho",2175000,0.128735632183908,0.227586206896552,0.599080459770115,0.0445977011494253
"Liberia",4500000,0.156666666666667,0.267333333333333,0.545777777777778,0.0302222222222222
"Lithuania",2932000,0.0515006821282401,0.094474761255116,0.667121418826739,0.186903137789904
"Malaysia",30723000,0.0836181362497152,0.165999414119715,0.691729323308271,0.0586205774175699
"Maldives",418000,0.0909090909090909,0.143540669856459,0.72488038277512,0.0406698564593301
"Malta",428000,0.0490654205607477,0.0934579439252336,0.670560747663551,0.184579439252336
"Mauritania",4182000,0.153036824485892,0.249402199904352,0.566714490674319,0.0310856049736968
"Mexico",125891000,0.0916109968147048,0.183110786315146,0.660460239413461,0.0648179774566887
"Mongolia",2977000,0.120591199193819,0.167282499160228,0.673160900235136,0.0389654014108163
"Montenegro",628000,0.0589171974522293,0.125796178343949,0.676751592356688,0.138535031847134
"Morocco",34803000,0.0993305174841249,0.177283567508548,0.659454644714536,0.0639600034479786
"Mozambique",28011000,0.172932062404056,0.279068937203242,0.516689871836064,0.0313091285566385
"Namibia",2426000,0.138087386644683,0.232069249793899,0.594806265457543,0.0346248969497115
"Nepal",28656000,0.0978852596314908,0.227666108319375,0.619695700725851,0.0547529313232831
"Netherlands",16938000,0.0526036131774708,0.114948636202621,0.653264848270162,0.179182902349746
"New_Zealand",4615000,0.066955579631636,0.132827735644637,0.65373781148429,0.146478873239437
"Nicaragua",6082000,0.0996382768826044,0.200756330154554,0.648799736928642,0.0508056560341993
"Niger",19897000,0.204352414936925,0.297683067799166,0.472533547771021,0.0254309694928884
"Nigeria",181182000,0.171700279277191,0.269447296089015,0.531487675376141,0.0273592299455796
"Oman",4200000,0.0914285714285714,0.130238095238095,0.755,0.0230952380952381
"Pakistan",189381000,0.130488274958945,0.219705250262698,0.604955090531785,0.0448513842465717
"Panama",3969000,0.0972537163013353,0.18140589569161,0.646006550768455,0.0755857898715042
"Paraguay",6639000,0.101521313450821,0.199879499924687,0.638499774062359,0.0602500376562735
"Peru",31377000,0.0962488446951589,0.182713452528922,0.652771138094783,0.0682665646811359
"Philippines",101716000,0.112411026780448,0.20987848519407,0.631994966376971,0.0457155216485115
"Poland",38265000,0.0497321311903829,0.099124526329544,0.695047693714883,0.156121782307592
"Portugal",10418000,0.0424265693991169,0.0982914186984066,0.651852562871952,0.207429449030524
"Qatar",2482000,0.0511684125705077,0.0870265914585012,0.850523771152296,0.0108783239323127
"Republic_of_Korea",50594000,0.0441159030715105,0.0949124402103016,0.731292248092659,0.129659643435981
"Romania",19877000,0.0488504301453942,0.105297580117724,0.675806208180309,0.169995472153746
"Russia",143888000,0.0650158456577338,0.1033095185144,0.696784999444012,0.134889636383854
"Rwanda",11630000,0.149183147033534,0.258813413585555,0.563886500429923,0.0281169389509888
"Sao_Tome_and_Principe",196000,0.158163265306122,0.275510204081633,0.535714285714286,0.0306122448979592
"Saudi_Arabia",31557000,0.0937985233070317,0.166175491966917,0.709478087270653,0.0305478974553982
"Senegal",14977000,0.166455231354744,0.264138345463043,0.539427121586433,0.0299793015957802
"Serbia",8851000,0.052875381312846,0.11377245508982,0.670319737882725,0.163032425714609
"Sierra_Leone",7237000,0.156832941826724,0.270415918198148,0.547602597761503,0.0250103634102529
"Singapore",5535000,0.0476964769647696,0.107317073170732,0.728093947606143,0.116892502258356
"Slovakia",5439000,0.0523993381136238,0.1003861003861,0.706563706563707,0.140650854936569
"Slovenia",2075000,0.0525301204819277,0.0944578313253012,0.672289156626506,0.180240963855422
"Solomon_Islands",587000,0.141396933560477,0.255536626916525,0.570698466780239,0.0340715502555366
"South_Africa",55291000,0.102439818415294,0.191025664212982,0.655730589065128,0.050803928306596
"Spain",46398000,0.0467477046424415,0.102310444415708,0.662140609509031,0.188779688779689
"Sri_Lanka",20714000,0.0793183354253162,0.166409191850922,0.661243603360046,0.0929805928357633
"Suriname",553000,0.0904159132007233,0.179023508137432,0.663652802893309,0.0669077757685353
"Sweden",9764000,0.0601188037689472,0.112761163457599,0.630991396968456,0.195923801720606
"Switzerland",8320000,0.0513221153846154,0.0965144230769231,0.672115384615385,0.179927884615385
"Syrian_Arab_Republic",18735000,0.119455564451561,0.261489191353082,0.578702962369896,0.040405657859621
"Tajikistan",8549000,0.136273248333138,0.214878933208562,0.615510586033454,0.0332202596794947
"Macedonia",2079000,0.0557960557960558,0.112554112554113,0.706589706589707,0.125060125060125
"Thailand",68658000,0.0559876489265635,0.123933117772146,0.714425121617292,0.105639546738909
"Tunisia",11274000,0.0908284548518716,0.14608834486429,0.68697888948022,0.0761043108036189
"Turkey",78271000,0.0861110756218778,0.169718030943772,0.6661471042915,0.0780237891428498
"Uganda",40145000,0.187121683895877,0.295155062896998,0.495977083073857,0.0217461701332669
"Ukraine",44658000,0.0539656948363115,0.0966232254019437,0.690536969859824,0.158874109901921
"United_Arab_Emirates",9154000,0.0514529167577015,0.0864103124317238,0.851977277692812,0.010268734979244
"United_Kingdom",65397000,0.0618224077557075,0.114026637307522,0.642934691193786,0.181216263742985
"Tanzania",53880000,0.17481440237565,0.277115812917595,0.516963622865627,0.0311061618411284
"USA",319929000,0.0620481419314911,0.130081986940852,0.661468638354135,0.146404358467035
"Uruguay",3432000,0.0702214452214452,0.143939393939394,0.641317016317016,0.144230769230769
"Uzbekistan",30976000,0.103208935950413,0.17733083677686,0.677137138429752,0.0423230888429752
"Venezuela",31155000,0.0954902904830685,0.186454822660889,0.655496709998395,0.0625902744342802
"Vietnam",93572000,0.0828559825588851,0.148078485016885,0.701609455820117,0.0674453896464754
"Yemen",26916000,0.149242086491306,0.256501709020657,0.565722990043097,0.028570367067915
"Zambia",16101000,0.170796844916465,0.282963791068878,0.521209862741445,0.0250295012732128
"Zimbabwe",15777000,0.158775432591747,0.255942194333523,0.557076757304938,0.0282056157697915
